,MatchId,MapIdx,Team,vs,Map,Winner,Scores,SelectTeam,Half1,Half2,Rnd,AtkRnd,AtkScore,DefRnd,DefScore,HasOt,OtScore,PistolWin,AntiEcoWin,AntiEcoLoss,EcoWin,EcoLoss,CtWinDefuse,CtLossBoom,CtWinElim,CtLossElim,CtWinTimeout,TLossDefuse,TWinBoom,TWinElim,TLossElim,TLossTimeout
119,506954,2,JDG,EDG,Lotus,True,13-10,JDG,ct,t,23,11,7,12,6,False,0,1,1,0,0,1,1,1,4,5,1,0,2,5,4,0
120,506954,3,EDG,JDG,Haven,True,13-10,Decider,ct,t,23,11,7,12,6,False,0,2,2,0,0,0,2,4,4,2,0,1,0,7,2,1
121,506954,3,JDG,EDG,Haven,False,10-13,Decider,t,ct,23,12,6,11,4,False,0,0,0,0,0,2,1,0,2,7,1,2,4,2,4,0
122,506955,1,AG,FPX,Icebox,True,14-12,AG,ct,t,26,13,7,13,7,True,2,0,0,0,0,2,4,5,3,1,0,4,0,7,2,0
123,506955,1,FPX,AG,Icebox,False,12-14,AG,t,ct,26,13,6,13,6,True,0,2,2,0,0,0,4,0,2,7,0,4,5,1,3,0
124,506955,2,AG,FPX,Bind,True,13-8,FPX,ct,t,21,9,4,12,9,False,0,2,2,0,0,0,4,0,4,3,1,0,1,3,2,3
125,506955,2,FPX,AG,Bind,False,8-13,FPX,t,ct,21,12,3,9,5,False,0,0,0,0,0,2,0,1,2,3,3,4,0,3,4,1
126,506956,1,TE,TEC,Sunset,False,9-13,TE,t,ct,22,12,5,10,4,False,0,2,2,0,0,0,2,0,1,6,1,2,1,4,5,0
127,506956,1,TEC,TE,Sunset,True,13-9,TE,ct,t,22,10,6,12,7,False,0,0,0,0,0,2,2,1,5,4,0,2,0,6,1,1
128,506956,2,TE,TEC,Haven,False,7-13,TEC,t,ct,20,12,3,8,4,False,0,0,0,0,1,1,1,0,3,4,0,3,1,2,6,0
129,506956,2,TEC,TE,Haven,True,13-7,TEC,ct,t,20,8,4,12,9,False,0,2,1,1,0,0,3,1,6,2,0,1,0,4,3,0
